index,class_representation,visual_fidelity,structural_integrity,diversity,beneficial_variations,explanation,filename,class_name,real_filename
1,0.9,0.8,0.9,0.3,0.4,"The image maintains the core features of an airplane and is distinguishable. However, there are some visual artifacts and slight distortions.",aug-1-0.png,airplane,2007_004988.jpg
2,0.8,0.7,0.8,0.5,0.6,"The image is recognizable as an airplane but has noticeable artifacts and some structural distortions. The context is slightly different, adding some diversity.",aug-1-1.png,airplane,2007_004988.jpg
3,0.7,0.6,0.7,0.6,0.5,"The image is somewhat distorted and has visual artifacts. The context is different, providing diversity, but the structural integrity is compromised.",aug-1-2.png,airplane,2007_004988.jpg
4,0.9,0.8,0.9,0.4,0.5,"The image is clear and maintains the core features of an airplane. There are minor artifacts, and the context is slightly different, adding some diversity.",aug-1-3.png,airplane,2007_004988.jpg
5,0.6,0.5,0.6,0.7,0.6,"The image is taken from a different angle, providing diversity. However, it is blurry and has significant visual artifacts, affecting its fidelity and structural integrity.",aug-1-4.png,airplane,2007_004988.jpg
6,0.5,0.4,0.5,0.8,0.7,"The image is taken from a unique angle, adding diversity. However, it is blurry and lacks clarity, affecting its visual fidelity and structural integrity.",aug-1-5.png,airplane,2007_004988.jpg
7,0.4,0.3,0.4,0.9,0.8,"The image is highly diverse with a unique angle and context. However, it is blurry and lacks clarity, significantly affecting its visual fidelity and structural integrity.",aug-1-6.png,airplane,2007_004988.jpg
8,0.6,0.5,0.6,0.7,0.7,"The image shows two airplanes, adding diversity. However, it is blurry and has visual artifacts, affecting its visual fidelity and structural integrity.",aug-1-7.png,airplane,2007_004988.jpg
9,0.9,0.8,0.9,0.4,0.5,"The image maintains the core features of an airplane and is distinguishable. There are minor visual artifacts, and the context is slightly different, adding some diversity.",aug-1-8.png,airplane,2007_004988.jpg
10,0.9,0.8,0.9,0.4,0.5,"The image maintains the core features of an airplane and is distinguishable. There are minor visual artifacts, and the context is slightly different, adding some diversity.",aug-1-9.png,airplane,2007_004988.jpg
1,0.5,0.3,0.4,0.7,0.6,"The image is heavily distorted, making it difficult to distinguish the airplane. However, some key features are still somewhat recognizable.",aug-0-0.png,airplane,2007_009348.jpg
2,0.6,0.4,0.5,0.8,0.7,"The image shows multiple airplanes but is distorted. The core features are somewhat visible, but the quality is low.",aug-0-1.png,airplane,2007_009348.jpg
3,0.7,0.5,0.6,0.8,0.7,"The image is clearer than the previous ones, with multiple airplanes visible. However, the distortion affects the overall quality.",aug-0-2.png,airplane,2007_009348.jpg
4,0.8,0.6,0.7,0.8,0.8,"The airplane is more distinguishable, and the image quality is better. The context is appropriate, but some distortion remains.",aug-0-3.png,airplane,2007_009348.jpg
5,0.9,0.7,0.8,0.9,0.9,"The airplane is clearly visible, and the image quality is good. The context and variations are beneficial for classification.",aug-0-4.png,airplane,2007_009348.jpg
6,0.8,0.7,0.8,0.9,0.9,"The airplane is in flight, providing a different viewpoint. The image quality is good, and the variations are beneficial.",aug-0-5.png,airplane,2007_009348.jpg
7,0.7,0.6,0.7,0.8,0.8,"The airplane is visible, but the image is somewhat distorted. The context and variations are beneficial for classification.",aug-0-6.png,airplane,2007_009348.jpg
8,0.8,0.7,0.8,0.9,0.9,"The airplane is in flight, providing a different viewpoint. The image quality is good, and the variations are beneficial.",aug-0-7.png,airplane,2007_009348.jpg
9,0.9,0.8,0.9,0.9,0.9,"The airplane is clearly visible, and the image quality is good. The context and variations are beneficial for classification.",aug-0-8.png,airplane,2007_009348.jpg
10,0.9,0.8,0.9,0.9,0.9,"The airplane is clearly visible, and the image quality is good. The context and variations are beneficial for classification.",aug-0-9.png,airplane,2007_009348.jpg
1,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is similar to the reference image.,aug-2-0.png,bicycle,2008_005839.jpg
2,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is similar to the reference image.,aug-2-1.png,bicycle,2008_005839.jpg
3,0.5,0.5,0.4,0.7,0.6,"The image is partially cropped, losing some key features of a bicycle. The context is different, and the structure is somewhat distorted.",aug-2-2.png,bicycle,2008_005839.jpg
4,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is similar to the reference image.,aug-2-3.png,bicycle,2008_005839.jpg
5,0.6,0.6,0.7,0.8,0.8,"The image has a different style and context but still represents a bicycle. The structure is mostly intact, and the variations are beneficial.",aug-2-4.png,bicycle,2008_005839.jpg
6,0.7,0.7,0.8,0.7,0.8,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is different but still relevant.,aug-2-5.png,bicycle,2008_005839.jpg
7,0.8,0.8,0.9,0.7,0.8,The image maintains the core features of a bicycle with good visual fidelity and structural integrity. The context is different but still relevant.,aug-2-6.png,bicycle,2008_005839.jpg
8,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is similar to the reference image.,aug-2-7.png,bicycle,2008_005839.jpg
9,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a bicycle but has some visual artifacts and slight distortions. The context is similar to the reference image.,aug-2-8.png,bicycle,2008_005839.jpg
10,0.4,0.5,0.4,0.7,0.6,"The image is partially cropped, losing some key features of a bicycle. The context is different, and the structure is somewhat distorted.",aug-2-9.png,bicycle,2008_005839.jpg
1,0.7,0.6,0.5,0.8,0.7,"The image maintains the core features of a bicycle but has some distortions and artifacts. The structure is somewhat altered, but it introduces beneficial variations in design.",aug-3-0.png,bicycle,2009_003519.jpg
2,0.9,0.8,0.9,0.5,0.6,This image closely resembles the reference bicycle with minor distortions. It maintains high structural integrity and introduces some beneficial variations.,aug-3-1.png,bicycle,2009_003519.jpg
3,0.6,0.5,0.6,0.7,0.6,"The image has significant distortions but still represents a bicycle. The structure is somewhat maintained, and it introduces some diversity and beneficial variations.",aug-3-2.png,bicycle,2009_003519.jpg
4,0.5,0.4,0.4,0.8,0.7,"The image has noticeable distortions and artifacts, affecting its visual fidelity and structural integrity. However, it introduces significant diversity and beneficial variations.",aug-3-3.png,bicycle,2009_003519.jpg
5,0.4,0.3,0.3,0.9,0.8,"The image is heavily distorted, affecting its class representation and structural integrity. It introduces high diversity and beneficial variations.",aug-3-4.png,bicycle,2009_003519.jpg
6,0.6,0.5,0.5,0.7,0.7,"The image maintains some core features of a bicycle but has distortions. The structure is somewhat altered, but it introduces beneficial variations in design.",aug-3-5.png,bicycle,2009_003519.jpg
7,0.7,0.6,0.6,0.8,0.7,"The image maintains the core features of a bicycle but has some distortions and artifacts. The structure is somewhat altered, but it introduces beneficial variations in design.",aug-3-6.png,bicycle,2009_003519.jpg
8,0.6,0.5,0.5,0.7,0.7,"The image maintains some core features of a bicycle but has distortions. The structure is somewhat altered, but it introduces beneficial variations in design.",aug-3-7.png,bicycle,2009_003519.jpg
9,0.8,0.7,0.7,0.6,0.7,The image closely resembles the reference bicycle with minor distortions. It maintains high structural integrity and introduces some beneficial variations.,aug-3-8.png,bicycle,2009_003519.jpg
10,0.7,0.6,0.6,0.7,0.7,"The image maintains the core features of a bicycle but has some distortions and artifacts. The structure is somewhat altered, but it introduces beneficial variations in design.",aug-3-9.png,bicycle,2009_003519.jpg
1,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-0.png,bird,2009_000746.jpg
2,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-1.png,bird,2009_000746.jpg
3,0.5,0.5,0.5,0.5,0.5,The image contains a bird but it is not clear and well-formed. The bird is distinguishable but not in high quality.,aug-5-2.png,bird,2009_000746.jpg
4,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-3.png,bird,2009_000746.jpg
5,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-4.png,bird,2009_000746.jpg
6,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-5.png,bird,2009_000746.jpg
7,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-6.png,bird,2009_000746.jpg
8,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-7.png,bird,2009_000746.jpg
9,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-8.png,bird,2009_000746.jpg
10,0.0,0.0,0.0,0.0,0.0,The image does not contain any bird and is completely irrelevant to the class.,aug-5-9.png,bird,2009_000746.jpg
1,0.0,0.5,0.5,0.8,0.7,"The image does not represent a bird at all. It shows a person on a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a person on a roof, but not for a bird.",aug-4-0.png,bird,2010_000075.jpg
2,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows an object on a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of an object on a roof, but not for a bird.",aug-4-1.png,bird,2010_000075.jpg
3,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows an object on a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of an object on a roof, but not for a bird.",aug-4-2.png,bird,2010_000075.jpg
4,0.0,0.7,0.7,0.8,0.7,"The image does not represent a bird. It shows a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a roof, but not for a bird.",aug-4-3.png,bird,2010_000075.jpg
5,0.0,0.5,0.5,0.8,0.7,"The image does not represent a bird. It shows a person with a head covering, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a person, but not for a bird.",aug-4-4.png,bird,2010_000075.jpg
6,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows an object on a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of an object on a roof, but not for a bird.",aug-4-5.png,bird,2010_000075.jpg
7,0.0,0.5,0.5,0.8,0.7,"The image does not represent a bird. It shows a roof with a small chimney, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a roof, but not for a bird.",aug-4-6.png,bird,2010_000075.jpg
8,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a roof, but not for a bird.",aug-4-7.png,bird,2010_000075.jpg
9,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a roof, but not for a bird.",aug-4-8.png,bird,2010_000075.jpg
10,0.0,0.6,0.6,0.8,0.7,"The image does not represent a bird. It shows a roof, which is irrelevant to the bird class. The visual fidelity and structural integrity are moderate for the context of a roof, but not for a bird.",aug-4-9.png,bird,2010_000075.jpg
1,1.0,0.9,1.0,0.2,0.3,The image is very similar to the reference with minor changes in lighting and angle. Maintains class identity and structure well.,aug-7-0.png,boat,2007_007415.jpg
2,1.0,0.8,1.0,0.5,0.6,The image shows a different boat with a hand in the foreground. Maintains class identity and structure but has more variation in context.,aug-7-1.png,boat,2007_007415.jpg
3,1.0,0.9,1.0,0.3,0.4,The image is very similar to the reference with minor changes in lighting and angle. Maintains class identity and structure well.,aug-7-2.png,boat,2007_007415.jpg
4,1.0,0.9,1.0,0.4,0.5,The image shows a different boat with slight changes in context and angle. Maintains class identity and structure well.,aug-7-3.png,boat,2007_007415.jpg
5,1.0,0.9,1.0,0.4,0.5,The image shows a different boat with slight changes in context and angle. Maintains class identity and structure well.,aug-7-4.png,boat,2007_007415.jpg
6,1.0,0.8,1.0,0.6,0.7,The image shows a different boat with significant changes in context and angle. Maintains class identity and structure well.,aug-7-5.png,boat,2007_007415.jpg
7,1.0,0.9,1.0,0.7,0.8,The image shows a different boat with significant changes in context and angle. Maintains class identity and structure well.,aug-7-6.png,boat,2007_007415.jpg
8,1.0,0.9,1.0,0.7,0.8,The image shows a different boat with significant changes in context and angle. Maintains class identity and structure well.,aug-7-7.png,boat,2007_007415.jpg
9,1.0,0.9,1.0,0.7,0.8,The image shows a different boat with significant changes in context and angle. Maintains class identity and structure well.,aug-7-8.png,boat,2007_007415.jpg
10,1.0,0.9,1.0,0.7,0.8,The image shows a different boat with significant changes in context and angle. Maintains class identity and structure well.,aug-7-9.png,boat,2007_007415.jpg
1,0.8,0.9,0.9,0.9,0.8,"The image is of a large cruise ship, which is a type of boat. It maintains the core semantic content but differs significantly in size and context from the reference image.",aug-6-0.png,boat,2008_006065.jpg
2,0.8,0.9,0.9,0.9,0.8,"Similar to the first augmented image, this is a large cruise ship. It maintains the class identity but is quite different in scale and context.",aug-6-1.png,boat,2008_006065.jpg
3,1.0,0.9,1.0,0.7,0.7,"This image is very similar to the reference image, maintaining the same type of boat and context. The variations are minimal but beneficial for generalization.",aug-6-2.png,boat,2008_006065.jpg
4,0.8,0.9,0.9,0.9,0.8,Another image of a large cruise ship. It maintains the class identity but differs significantly in size and context from the reference image.,aug-6-3.png,boat,2008_006065.jpg
5,0.8,0.9,0.9,0.9,0.8,"Similar to the previous cruise ship images, this one maintains the class identity but is quite different in scale and context.",aug-6-4.png,boat,2008_006065.jpg
6,1.0,0.9,1.0,0.7,0.7,"This image is very similar to the reference image, maintaining the same type of boat and context. The variations are minimal but beneficial for generalization.",aug-6-5.png,boat,2008_006065.jpg
7,1.0,0.9,1.0,0.7,0.7,"This image is very similar to the reference image, maintaining the same type of boat and context. The variations are minimal but beneficial for generalization.",aug-6-6.png,boat,2008_006065.jpg
8,0.8,0.9,0.9,0.9,0.8,Another image of a large cruise ship. It maintains the class identity but differs significantly in size and context from the reference image.,aug-6-7.png,boat,2008_006065.jpg
9,1.0,0.9,1.0,0.7,0.7,"This image is very similar to the reference image, maintaining the same type of boat and context. The variations are minimal but beneficial for generalization.",aug-6-8.png,boat,2008_006065.jpg
10,0.8,0.9,0.9,0.9,0.8,Another image of a large cruise ship. It maintains the class identity but differs significantly in size and context from the reference image.,aug-6-9.png,boat,2008_006065.jpg
1,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of the bottle class but includes a snake, which slightly detracts from the class representation. The visual fidelity is good, but the snake introduces some artifacts. The structure of the bottle is mostly intact, and there is moderate diversity and beneficial variations.",aug-9-0.png,bottle,2008_000015.jpg
2,0.9,0.8,0.9,0.7,0.8,"The bottle is clearly distinguishable, and the image quality is high. The snake does not significantly distort the bottle's structure. There is good diversity and beneficial variations in the image.",aug-9-1.png,bottle,2008_000015.jpg
3,0.5,0.4,0.5,0.5,0.4,"The image is less clear, and the snake obscures the bottle, reducing class representation and visual fidelity. The structure is somewhat distorted, and the diversity and beneficial variations are moderate.",aug-9-2.png,bottle,2008_000015.jpg
4,0.3,0.3,0.3,0.4,0.3,"The bottle is barely visible, and the snake dominates the image, significantly reducing class representation and visual fidelity. The structure is highly distorted, and there is limited diversity and beneficial variations.",aug-9-3.png,bottle,2008_000015.jpg
5,0.7,0.6,0.7,0.6,0.6,"The bottle is distinguishable, but the snake affects the visual fidelity and structural integrity. There is moderate diversity and beneficial variations in the image.",aug-9-4.png,bottle,2008_000015.jpg
6,0.8,0.7,0.8,0.7,0.7,"The bottle is clearly visible, and the image quality is good. The snake does not significantly distort the bottle's structure. There is good diversity and beneficial variations.",aug-9-5.png,bottle,2008_000015.jpg
7,0.4,0.3,0.4,0.5,0.4,"The bottle is partially obscured, and the image quality is lower. The structure is somewhat distorted, and there is moderate diversity and beneficial variations.",aug-9-6.png,bottle,2008_000015.jpg
8,0.7,0.6,0.7,0.6,0.6,"The bottle is distinguishable, but the snake affects the visual fidelity and structural integrity. There is moderate diversity and beneficial variations in the image.",aug-9-7.png,bottle,2008_000015.jpg
9,0.5,0.4,0.5,0.5,0.4,"The bottle is less clear, and the snake obscures the bottle, reducing class representation and visual fidelity. The structure is somewhat distorted, and the diversity and beneficial variations are moderate.",aug-9-8.png,bottle,2008_000015.jpg
10,0.3,0.3,0.3,0.4,0.3,"The bottle is barely visible, and the snake dominates the image, significantly reducing class representation and visual fidelity. The structure is highly distorted, and there is limited diversity and beneficial variations.",aug-9-9.png,bottle,2008_000015.jpg
1,0.2,0.1,0.1,0.5,0.3,"The image is highly abstract and does not clearly represent a bottle. The visual fidelity and structural integrity are poor, but it introduces some diversity.",aug-8-0.png,bottle,2009_001937.jpg
2,0.4,0.3,0.4,0.6,0.5,The image shows a bottle but is partially obscured and has low visual fidelity. It introduces some diversity and beneficial variations.,aug-8-1.png,bottle,2009_001937.jpg
3,0.1,0.1,0.1,0.4,0.2,The image does not clearly represent a bottle and has poor visual fidelity and structural integrity. It introduces some diversity but is not very beneficial.,aug-8-2.png,bottle,2009_001937.jpg
4,0.8,0.7,0.8,0.7,0.7,The image clearly represents a bottle with good visual fidelity and structural integrity. It introduces beneficial variations and diversity.,aug-8-3.png,bottle,2009_001937.jpg
5,0.7,0.6,0.7,0.6,0.6,The image represents a bottle well with decent visual fidelity and structural integrity. It introduces some beneficial variations and diversity.,aug-8-4.png,bottle,2009_001937.jpg
6,0.3,0.2,0.3,0.5,0.4,The image partially represents a bottle but has low visual fidelity and structural integrity. It introduces some diversity and beneficial variations.,aug-8-5.png,bottle,2009_001937.jpg
7,0.5,0.4,0.5,0.6,0.5,The image represents a bottle but is partially obscured and has moderate visual fidelity and structural integrity. It introduces some diversity and beneficial variations.,aug-8-6.png,bottle,2009_001937.jpg
8,0.9,0.8,0.9,0.8,0.8,The image clearly represents a bottle with high visual fidelity and structural integrity. It introduces beneficial variations and diversity.,aug-8-7.png,bottle,2009_001937.jpg
9,0.9,0.9,0.9,0.9,0.9,The image clearly represents a bottle with excellent visual fidelity and structural integrity. It introduces beneficial variations and diversity.,aug-8-8.png,bottle,2009_001937.jpg
10,1.0,1.0,1.0,0.1,0.1,"The image is almost identical to the reference image, maintaining perfect class representation, visual fidelity, and structural integrity, but lacks diversity and beneficial variations.",aug-8-9.png,bottle,2009_001937.jpg
1,0.8,0.7,0.8,0.9,0.8,"The image maintains the core features of a bus but has some visual artifacts and slight structural differences. The context is appropriate, and the variations in the environment and bus design are beneficial.",aug-11-0.png,bus,2007_002024.jpg
2,0.9,0.9,0.9,0.5,0.6,"This image closely resembles the reference bus with minor differences. The visual quality is high, and the structure is well-maintained. However, the diversity and beneficial variations are limited.",aug-11-1.png,bus,2007_002024.jpg
3,0.9,0.9,0.9,0.6,0.7,The image is very similar to the reference with high visual fidelity and structural integrity. There are some beneficial variations in the bus design and environment.,aug-11-2.png,bus,2007_002024.jpg
4,0.8,0.8,0.8,0.8,0.8,The image maintains the core features of a bus with good visual quality and structural integrity. The variations in design and environment are beneficial for generalization.,aug-11-3.png,bus,2007_002024.jpg
5,0.9,0.9,0.9,0.7,0.7,This image closely resembles the reference bus with high visual fidelity and structural integrity. The diversity and beneficial variations are moderate.,aug-11-4.png,bus,2007_002024.jpg
6,0.9,0.9,0.9,0.5,0.6,The image is very similar to the reference with high visual fidelity and structural integrity. The diversity and beneficial variations are limited.,aug-11-5.png,bus,2007_002024.jpg
7,0.8,0.8,0.8,0.8,0.8,The image maintains the core features of a bus with good visual quality and structural integrity. The variations in design and environment are beneficial for generalization.,aug-11-6.png,bus,2007_002024.jpg
8,0.9,0.9,0.9,0.6,0.7,The image is very similar to the reference with high visual fidelity and structural integrity. There are some beneficial variations in the bus design and environment.,aug-11-7.png,bus,2007_002024.jpg
9,0.8,0.8,0.8,0.8,0.8,The image maintains the core features of a bus with good visual quality and structural integrity. The variations in design and environment are beneficial for generalization.,aug-11-8.png,bus,2007_002024.jpg
10,0.9,0.9,0.9,0.5,0.6,The image is very similar to the reference with high visual fidelity and structural integrity. The diversity and beneficial variations are limited.,aug-11-9.png,bus,2007_002024.jpg
1,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bus and is distinguishable. The visual quality is good, though slightly less clear than the reference. The structure is well-preserved, and there is some beneficial variation in context and minor details.",aug-10-0.png,bus,2008_003373.jpg
2,0.4,0.5,0.4,0.6,0.5,"The image is less clear in representing a bus, with significant occlusion and context that distracts from the main subject. The structure is partially obscured, reducing its integrity.",aug-10-1.png,bus,2008_003373.jpg
3,0.8,0.7,0.8,0.7,0.7,"The image clearly represents a bus, though the visual quality is slightly lower. The structure is mostly intact, and there is beneficial variation in the environment and minor details.",aug-10-2.png,bus,2008_003373.jpg
4,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bus and is distinguishable. The visual quality is good, though slightly less clear than the reference. The structure is well-preserved, and there is some beneficial variation in context and minor details.",aug-10-3.png,bus,2008_003373.jpg
5,0.6,0.6,0.6,0.7,0.6,"The image represents a bus but with some visual artifacts and lower clarity. The structure is mostly intact, and there is some beneficial variation in context and minor details.",aug-10-4.png,bus,2008_003373.jpg
6,0.5,0.5,0.5,0.6,0.5,"The image is less clear in representing a bus, with significant occlusion and context that distracts from the main subject. The structure is partially obscured, reducing its integrity.",aug-10-5.png,bus,2008_003373.jpg
7,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bus and is distinguishable. The visual quality is good, though slightly less clear than the reference. The structure is well-preserved, and there is some beneficial variation in context and minor details.",aug-10-6.png,bus,2008_003373.jpg
8,0.6,0.6,0.6,0.7,0.6,"The image represents a bus but with some visual artifacts and lower clarity. The structure is mostly intact, and there is some beneficial variation in context and minor details.",aug-10-7.png,bus,2008_003373.jpg
9,0.7,0.7,0.7,0.7,0.7,"The image clearly represents a bus, though the visual quality is slightly lower. The structure is mostly intact, and there is beneficial variation in the environment and minor details.",aug-10-8.png,bus,2008_003373.jpg
10,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bus and is distinguishable. The visual quality is good, though slightly less clear than the reference. The structure is well-preserved, and there is some beneficial variation in context and minor details.",aug-10-9.png,bus,2008_003373.jpg
1,0.8,0.7,0.6,0.9,0.8,"The image maintains the core features of a car but has some distortions. The visual quality is decent, and the structure is somewhat altered. The image introduces significant diversity and beneficial variations.",aug-12-0.png,car,2008_002473.jpg
2,0.7,0.6,0.5,0.8,0.7,"The image is recognizable as a car but has notable distortions. The visual quality is moderate, and the structure is somewhat compromised. It introduces good diversity and beneficial variations.",aug-12-1.png,car,2008_002473.jpg
3,0.9,0.8,0.9,0.5,0.6,"The image closely resembles the reference car with high visual fidelity and structural integrity. However, it lacks significant diversity and beneficial variations.",aug-12-2.png,car,2008_002473.jpg
4,0.6,0.5,0.4,0.7,0.6,"The image is somewhat recognizable as a car but has considerable distortions. The visual quality is moderate, and the structure is compromised. It introduces moderate diversity and beneficial variations.",aug-12-3.png,car,2008_002473.jpg
5,0.8,0.7,0.8,0.6,0.7,The image maintains the core features of a car with good visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.,aug-12-4.png,car,2008_002473.jpg
6,0.9,0.9,0.9,0.4,0.5,"The image closely resembles the reference car with high visual fidelity and structural integrity. However, it lacks significant diversity and beneficial variations.",aug-12-5.png,car,2008_002473.jpg
7,0.8,0.8,0.8,0.7,0.7,The image maintains the core features of a car with good visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.,aug-12-6.png,car,2008_002473.jpg
8,0.9,0.9,0.9,0.5,0.6,"The image closely resembles the reference car with high visual fidelity and structural integrity. However, it lacks significant diversity and beneficial variations.",aug-12-7.png,car,2008_002473.jpg
9,0.8,0.8,0.8,0.6,0.7,The image maintains the core features of a car with good visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.,aug-12-8.png,car,2008_002473.jpg
10,0.9,0.9,0.9,0.5,0.6,"The image closely resembles the reference car with high visual fidelity and structural integrity. However, it lacks significant diversity and beneficial variations.",aug-12-9.png,car,2008_002473.jpg
1,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of a car, but the context and background are somewhat unusual. The car is clear and well-formed, but the setting is less typical for a car.",aug-13-0.png,car,2011_002224.jpg
2,1.0,1.0,1.0,0.5,0.6,"The car is very clear and well-formed, maintaining all key features. The background is appropriate, but the diversity is moderate as it is a standard car image.",aug-13-1.png,car,2011_002224.jpg
3,1.0,1.0,1.0,0.7,0.8,"The car is clear and well-formed with a different color and background, providing good diversity and beneficial variations.",aug-13-2.png,car,2011_002224.jpg
